iter	MultiClass
305	0.7895831231
306	0.7893615358
307	0.7889332958
308	0.788787499
309	0.7885972987
310	0.7883217997
311	0.788083706
312	0.7879718645
313	0.7877298457
314	0.787582546
315	0.7875262706
316	0.7872625359
317	0.7870753978
318	0.786910325
319	0.7866616604
320	0.7865195618
321	0.7861817487
322	0.7859827102
323	0.7857634714
324	0.7856149035
325	0.7854987488
326	0.7854016722
327	0.7852186288
328	0.785122586
329	0.7850569634
330	0.7848971233
331	0.7846017135
332	0.7844259413
333	0.7841381515
334	0.7839144742
335	0.7837768018
336	0.7836764244
337	0.7833693687
338	0.783173859
339	0.7828807998
340	0.782606996
341	0.7823398805
342	0.782099722
343	0.7819851445
344	0.7818518404
345	0.7817252215
346	0.7816673925
347	0.781625001
348	0.7814448306
349	0.7809324483
350	0.7808294372
351	0.7804568647
352	0.7800711074
353	0.7798435254
354	0.7797283804
355	0.7794694082
356	0.7793250294
357	0.7791783725
358	0.7790527704
359	0.7788884333
360	0.7787783806
361	0.7786434111
362	0.7784642046
363	0.7781501858
364	0.7779856053
365	0.7777531665
366	0.7776349504
367	0.7773746461
368	0.7771740747
369	0.7769932997
370	0.7767306524
371	0.7765602834
372	0.7764222209
373	0.7762556042
374	0.7760511112
375	0.7759465913
376	0.7757670481
377	0.7756712318
378	0.7755600703
379	0.7753457086
380	0.7751600116
381	0.7750391325
382	0.7748159335
383	0.7746766487
384	0.7745314182
385	0.7743668712
386	0.774285561
387	0.7740473304
388	0.7739935473
389	0.7738903142
390	0.7736961688
391	0.7734873031
392	0.7732411577
393	0.7730385453
394	0.7729096672
395	0.7727886155
396	0.7726715009
397	0.7724806704
398	0.7723804494
399	0.772105939
400	0.7719168965
401	0.7717874731
402	0.7712113238
403	0.7709440381
404	0.7708279658
405	0.7707498039
406	0.7706450644
407	0.7705318751
408	0.7703618499
409	0.7701857981
410	0.7700348624
411	0.7697212641
412	0.7695506197
413	0.7693308147
414	0.7689686032
415	0.7688589193
416	0.7686813847
417	0.7685753121
418	0.7684505253
419	0.7682856287
420	0.7679978417
421	0.7677754297
422	0.7675471689
423	0.7674582284
424	0.7672164087
425	0.7671404754
426	0.7668674693
427	0.7667812722
428	0.7665302852
429	0.7663955897
430	0.7661520095
431	0.7660012341
432	0.7658801076
433	0.7657993065
434	0.7656801188
435	0.7654871583
436	0.7653640909
437	0.7652044605
438	0.7651226758
439	0.7649460696
440	0.7646854934
441	0.7645668399
442	0.7644377595
443	0.7643649793
444	0.7642004251
445	0.7641100483
446	0.763921705
447	0.7637567273
448	0.7636535805
449	0.7635741945
450	0.7632866596
451	0.7629723753
452	0.762791607
453	0.7627330219
454	0.7626796118
455	0.7624924624
456	0.7624530896
457	0.762372372
458	0.7621751426
459	0.7620745034
460	0.7619083852
461	0.7618379817
462	0.7617046239
463	0.7615919454
464	0.7612773962
465	0.7611619423
466	0.7609511838
467	0.7608799155
468	0.7607548211
469	0.7606322069
470	0.7605219489
471	0.7602379276
472	0.760160849
473	0.7599945828
474	0.7598991191
475	0.7598684996
476	0.7597527019
477	0.7596136423
478	0.7594818323
479	0.759294375
480	0.7591134606
481	0.7588997412
482	0.7587202219
483	0.7585542488
484	0.7585067938
485	0.7581434439
486	0.7579771708
487	0.7577656481
488	0.7575385813
489	0.7573616709
490	0.7573262727
491	0.75701797
492	0.7568545058
493	0.7567571886
494	0.756657403
495	0.7566000649
496	0.7565372028
497	0.7563776173
498	0.7562625052
499	0.7561875469
500	0.7560729271
501	0.7559879894
502	0.7557444505
503	0.7556450641
504	0.7555777158
505	0.7553517724
506	0.7552531561
507	0.755111616
508	0.7549829137
509	0.7548072482
510	0.7546106804
511	0.7544136612
512	0.7543069155
513	0.7542398964
514	0.7541613088
515	0.7540529579
516	0.7538987177
517	0.7537500047
518	0.7536740017
519	0.7534881855
520	0.7534295816
521	0.7533120102
522	0.7532298575
523	0.7531222448
524	0.7528530334
525	0.7528039492
526	0.7527595552
527	0.7526045699
528	0.752542494
529	0.7524253009
530	0.7520966457
531	0.7518703698
532	0.7516248905
533	0.751490839
534	0.7514138496
535	0.7513660974
536	0.7513394059
537	0.7512311934
538	0.751085628
539	0.7509464237
540	0.7508976132
541	0.7508285716
542	0.7505998825
543	0.7504300452
544	0.7502679484
545	0.7502077503
546	0.7501432933
547	0.7499677057
548	0.7497876452
549	0.7497326619
550	0.7496267818
551	0.7495307957
552	0.749466095
553	0.7493521513
554	0.7492217682
555	0.7491039552
556	0.7490031112
557	0.748949438
558	0.7487036391
559	0.7485265345
560	0.7484514703
561	0.7483579026
562	0.7483070311
563	0.7482510544
564	0.7481505938
565	0.7480355316
566	0.7479572278
567	0.747802838
568	0.7476543746
569	0.7475548832
570	0.7474983618
571	0.747436919
572	0.7473863626
573	0.7473371063
574	0.7472966148
575	0.7471665047
576	0.7469529319
577	0.7466395685
578	0.7465487773
579	0.7464253297
580	0.7462495302
581	0.7462052816
582	0.7460849325
583	0.7460481133
584	0.7458693037
585	0.7457173874
586	0.7455533555
587	0.7454206349
588	0.7452038443
589	0.7450926841
590	0.7450046946
591	0.7448908036
592	0.7447760294
593	0.744643019
594	0.7445251086
595	0.7444223139
596	0.7442560046
597	0.7441594841
598	0.7439691763
599	0.7439117333
600	0.7437967558
601	0.7437016348
602	0.743583884
603	0.7434681781
604	0.7433724466
605	0.7432692755
606	0.7431159233
607	0.74301211
608	0.7428974643
609	0.7427609725
610	0.7425658402
611	0.742384923
612	0.7422989372
613	0.7421467662
614	0.7420475739
615	0.7419054981
616	0.7417866084
617	0.7414593632
618	0.741306975
619	0.7410833936
620	0.7409867494
621	0.7409086699
622	0.7408181549
623	0.7407247832
624	0.740520221
625	0.7403490825
626	0.7401234007
627	0.7398615416
628	0.739815178
629	0.7397356263
630	0.73964124
631	0.7394793031
632	0.7394124133
633	0.7393085949
634	0.7391321536
635	0.7390242613
636	0.7389458838
637	0.738864695
638	0.7387504811
639	0.7386791581
640	0.7385846412
641	0.7384819105
642	0.7384211516
643	0.7383658154
644	0.7382814441
645	0.7381933294
646	0.7379350632
647	0.7378650473
648	0.7377539388
649	0.7376684554
650	0.7375546287
651	0.7374510542
652	0.7373180407
653	0.7372736909
654	0.7372392912
655	0.7370928309
656	0.7369634585
657	0.7367952516
658	0.7366323241
659	0.7364852937
660	0.7364340457
661	0.7363218009
662	0.7361981952
663	0.7360955666
664	0.7359266229
665	0.7358288876
666	0.7357606835
667	0.7356532391
668	0.7355714996
669	0.7355270725
670	0.7353403781
671	0.735270202
672	0.7350543314
673	0.7349980182
674	0.7348911536
675	0.734726945
676	0.7346837024
677	0.7345226922
678	0.7344393259
679	0.7343591778
680	0.734268235
681	0.7341468163
682	0.733972988
683	0.7338592623
684	0.7337526254
685	0.733661135
686	0.7335158396
687	0.7332921046
688	0.7332182824
689	0.7329683191
690	0.7328825728
691	0.7327452359
692	0.7326531929
693	0.7325630971
694	0.7323958214
695	0.7323691632
696	0.7321250639
697	0.7320420133
698	0.7319362572
699	0.7318617442
700	0.7315983055
701	0.7314255314
702	0.7312849743
703	0.7312316205
704	0.7311484299
705	0.7310653591
706	0.7307510883
707	0.7307102698
708	0.7306767164
709	0.7306279771
710	0.7305586595
711	0.7304252278
712	0.7303147424
713	0.7302265636
714	0.7301857578
715	0.7301170928
716	0.7300248668
717	0.7298477996
718	0.7297774438
719	0.7297308878
720	0.7296767804
721	0.7295180827
722	0.7295057969
723	0.7293765846
724	0.7292587559
725	0.729070204
726	0.7290045818
727	0.7289653131
728	0.7288074497
729	0.7286938022
730	0.7285816957
731	0.728506257
732	0.7282629062
733	0.7282290853
734	0.7281087221
735	0.727990858
736	0.7278944556
737	0.7278583817
738	0.72779892
739	0.7277062993
740	0.7275626131
741	0.7274848187
742	0.7273108747
743	0.727257346
744	0.7271658712
745	0.7271019374
746	0.7270740794
747	0.7269790878
748	0.7268969561
749	0.7266954375
750	0.7265194596
751	0.7264553099
752	0.7263931369
753	0.7263238556
754	0.7261815378
755	0.7261672222
756	0.7260229817
757	0.7259552352
758	0.7259206089
759	0.7258066618
760	0.7256971832
761	0.7256522774
762	0.7255663711
763	0.7253141844
764	0.7252039235
765	0.7251799609
766	0.7250618813
767	0.725009257
768	0.7249668816
769	0.724842065
770	0.724777482
771	0.7246843358
772	0.7245766255
773	0.7244712799
774	0.7244327192
775	0.7243489476
776	0.7242791476
777	0.7241374895
778	0.7240232244
779	0.7239350151
780	0.7238288158
781	0.7237633275
782	0.7235400818
783	0.7235153276
784	0.7234227993
785	0.7233328214
786	0.7232751104
787	0.7232203216
788	0.7231316477
789	0.7230049027
790	0.7229329474
791	0.722869607
792	0.7227383383
793	0.7226705472
794	0.7225728914
795	0.7225000521
796	0.7224040709
797	0.7221716486
798	0.7219889219
799	0.7219533619
800	0.7218608306
801	0.7217452029
802	0.721686448
803	0.7216123987
804	0.7215577605
805	0.7215170082
806	0.7214993379
807	0.7214450527
808	0.7213823783
809	0.7212571117
810	0.7212104462
811	0.7210714824
812	0.7209860715
813	0.7209303024
814	0.7208911735
815	0.7208400954
816	0.720802058
817	0.7207511958
818	0.7207022371
819	0.7203477654
820	0.720290904
821	0.7201923517
822	0.7201208285
823	0.7199863299
824	0.7198796323
825	0.7198020596
826	0.7197108655
827	0.7196432933
828	0.7195507142
829	0.7194700066
830	0.7193625038
831	0.7192297472
832	0.719146578
833	0.7190631719
834	0.7188654169
835	0.7187064379
836	0.7186456597
837	0.7185721099
838	0.7185043643
839	0.7184295
840	0.7183550768
841	0.7181506985
842	0.7180567915
843	0.7179960507
844	0.7178903826
845	0.7177223331
846	0.7176404789
847	0.7175193189
848	0.7173500314
849	0.7172897697
850	0.7172220621
851	0.7171233588
852	0.717029395
853	0.7169506841
854	0.7168503742
855	0.7167887539
856	0.716646517
857	0.7165967191
858	0.7162260865
859	0.7161143399
860	0.7160419755
861	0.7159625037
862	0.7157391319
863	0.7155971137
864	0.7154928645
865	0.7154416266
866	0.7153086946
867	0.7152260939
868	0.7151462523
869	0.7150430509
870	0.7149841236
871	0.7149416641
872	0.7148566668
873	0.7147616179
874	0.7147005146
875	0.7146582823
876	0.7145672641
877	0.714518712
878	0.7144466733
879	0.7142529401
880	0.7141683889
881	0.7140392286
882	0.714003905
883	0.7138786428
884	0.7138300665
885	0.7137967697
886	0.7137601522
887	0.7136505393
888	0.7135824558
889	0.7135133861
890	0.7133522642
891	0.7132699221
892	0.7131867319
893	0.7131118972
894	0.7130303501
895	0.713001465
896	0.7129468554
897	0.712883471
898	0.7128096256
899	0.7125408815
900	0.7124607581
901	0.7123486247
902	0.7122490386
903	0.7121360754
904	0.7120534468
905	0.7119325508
906	0.7119048726
907	0.711826569
908	0.7117756575
909	0.711664589
910	0.7115629277
911	0.7115108303
912	0.711473495
913	0.7112463008
914	0.7112301472
915	0.7111405062
916	0.7110639769
917	0.7109642567
918	0.7108935656
919	0.7108332256
920	0.7107787847
921	0.7107171527
922	0.7106214798
923	0.7105475374
924	0.710373547
925	0.7103029372
926	0.7101398533
927	0.7099451197
928	0.709819378
929	0.7096765521
930	0.7095743926
931	0.7094576962
932	0.7093632057
933	0.7091877447
934	0.7091405863
935	0.7090347204
936	0.7089625068
937	0.7089089526
938	0.7088263024
939	0.7087420322
940	0.7086906277
941	0.7086304785
942	0.7085056042
943	0.70846621
944	0.7083328026
945	0.7082558411
946	0.708183427
947	0.7080861964
948	0.7079273977
949	0.7077915189
950	0.7077779036
951	0.7077159191
952	0.7076098345
953	0.7075167476
954	0.7074492872
955	0.707356862
956	0.7072385284
957	0.707155392
958	0.7071149598
959	0.7070650433
960	0.7070021526
961	0.7069650344
962	0.7067183451
963	0.7066686955
964	0.7065631678
965	0.7064542621
966	0.7063464439
967	0.7062700774
968	0.7060634527
969	0.7059626647
970	0.7058690784
971	0.7058402509
972	0.7057777009
973	0.7057523816
974	0.7056480652
975	0.705547345
976	0.7054613334
977	0.7053604342
978	0.7053046068
979	0.7051833233
980	0.705071002
981	0.7049536839
982	0.7048890467
983	0.7048607414
984	0.7048108786
985	0.7046726331
986	0.704638508
987	0.7044794973
988	0.7043918919
989	0.7043232787
990	0.7042312812
991	0.7041422059
992	0.7040961079
993	0.7039972501
994	0.7039106449
995	0.7038687567
996	0.7038242726
997	0.7037561813
998	0.7036895043
999	0.7036622146
